,experiment
G252_Watkins07_AVR_rh3036_B_D224_RNA1_Lib1_GL104_S3_nohmrRNA_noglobinLog,45045779
G253_Watkins07_AVR_rh3037_B_D224_RNA1_Lib1_GL104_S5_nohmrRNA_noglobinLog,38152845
G254_Watkins07_AVR_rh3045_B_D224_RNA1_Lib1_GL102_S52_nohmrRNA_noglobinLog,29979617
G255_Watkins07_AVR_rh3048_B_D224_RNA1_Lib1_GL102_S23_nohmrRNA_noglobinLog,27806662
G256_Watkins07_AVR_rh3053_B_D224_RNA1_Lib1_GL102_S12_nohmrRNA_noglobinLog,28731997
G257_Watkins07_AVR_r08014_B_D0-SIV_RNA1_Lib1_GL105_S85_nohmrRNA_noglobinLog,47923401
G258_Watkins07_Unvax_r15058_B_D0-SIV_RNA1_Lib1_GL104_S74_nohmrRNA_noglobinLog,35750995
G259_Watkins07_Unvax_r16003_B_D0-SIV_RNA1_Lib1_GL104_S94_nohmrRNA_noglobinLog,44944409
G260_Watkins07_AVR_r08014_B_D3-SIV_RNA1_Lib1_GL104_S10_nohmrRNA_noglobinLog,31956491
G261_Watkins07_Unvax_r15058_B_D3-SIV_RNA1_Lib1_GL104_S45_nohmrRNA_noglobinLog,37473842
G262_Watkins07_Unvax_r16003_B_D3-SIV_RNA1_Lib1_GL105_S72_nohmrRNA_noglobinLog,38937814
G263_Watkins07_AVR_r08014_B_D7-SIV_RNA1_Lib1_GL105_S56_nohmrRNA_noglobinLog,43248829
G264_Watkins07_Unvax_r15058_B_D7-SIV_RNA1_Lib1_GL104_S71_nohmrRNA_noglobinLog,43548246
G265_Watkins07_Unvax_r16003_B_D7-SIV_RNA1_Lib1_GL104_S24_nohmrRNA_noglobinLog,33088890
G266_Watkins07_Unvax_r17103_B_D0-SIV_RNA1_Lib1_GL102_S97_nohmrRNA_noglobinLog,38674738
G267_Watkins07_Unvax_r18067_B_D0-SIV_RNA1_Lib1_GL102_S1_nohmrRNA_noglobinLog,26211497
G268_Watkins07_AVR_r08014_B_D10-SIV_RNA1_Lib1_GL105_S87_nohmrRNA_noglobinLog,44041792
G269_Watkins07_Unvax_r15058_B_D10-SIV_RNA1_Lib1_GL102_S14_nohmrRNA_noglobinLog,31940238
G270_Watkins07_Unvax_r16003_B_D10-SIV_RNA1_Lib1_GL104_S6_nohmrRNA_noglobinLog,45468005
G271_Watkins07_Unvax_r17103_B_D3-SIV_RNA1_Lib1_GL102_S25_nohmrRNA_noglobinLog,40963014
G272_Watkins07_Unvax_r18067_B_D3-SIV_RNA1_Lib1_GL102_S5_nohmrRNA_noglobinLog,28153095
G273_Watkins07_AVR_r08014_B_D14-SIV_RNA1_Lib1_GL104_S62_nohmrRNA_noglobinLog,35329779
G274_Watkins07_Unvax_r15058_B_D14-SIV_RNA1_Lib1_GL104_S21_nohmrRNA_noglobinLog,35527881
G277_Watkins07_Unvax_r18067_B_D7-SIV_RNA1_Lib1_GL102_S65_nohmrRNA_noglobinLog,42563322
G275_Watkins07_Unvax_r16003_B_D14-SIV_RNA1_Lib1_GL102_S26_nohmrRNA_noglobinLog,32556678
