,experiment
G347_Watkins07_AVR_r17115_B_D14-SIV_RNA1_Lib1_GL104_S83_nohmrRNA_noglobinLog,44500331
G317_Watkins07_Unvax_r14095_B_D3-SIV_RNA1_Lib1_GL104_S49_nohmrRNA_noglobinLog,37466059
G319_Watkins07_Unvax_r14095_B_D10-SIV_RNA1_Lib1_GL102_S82_nohmrRNA_noglobinLog,38839345
G318_Watkins07_Unvax_r14095_B_D7-SIV_RNA1_Lib1_GL105_S62_nohmrRNA_noglobinLog,47465908
G320_Watkins07_Unvax_r14095_B_D14-SIV_RNA1_Lib1_GL104_S103_nohmrRNA_noglobinLog,36916541
G322_Watkins07_Unvax_r15057_B_D4-SIV_RNA1_Lib1_GL102_S8_nohmrRNA_noglobinLog,40575772
G321_Watkins07_Unvax_r15057_B_D0-SIV_RNA1_Lib1_GL104_S104_nohmrRNA_noglobinLog,37958162
G323_Watkins07_Unvax_r15057_B_D7-SIV_RNA1_Lib1_GL102_S103_nohmrRNA_noglobinLog,37601742
G324_Watkins07_Unvax_r15057_B_D10-SIV_RNA1_Lib1_GL104_S17_nohmrRNA_noglobinLog,42937981
G325_Watkins07_Unvax_r15057_B_D14-SIV_RNA1_Lib1_GL102_S69_nohmrRNA_noglobinLog,34345805
G326_Watkins07_Unvax_r15093_B_D0-SIV_RNA1_Lib1_GL102_S87_nohmrRNA_noglobinLog,36792546
G350_Watkins07_Unvax_r18066_B_D7-SIV_RNA1_Lib1_GL102_S60_nohmrRNA_noglobinLog,29721320
G327_Watkins07_Unvax_r15093_B_D3-SIV_RNA1_Lib1_GL102_S6_nohmrRNA_noglobinLog,70185017
G328_Watkins07_Unvax_r15093_B_D7-SIV_RNA1_Lib1_GL105_S75_nohmrRNA_noglobinLog,59978740
G331_Watkins07_AVR_r16007_B_D0-SIV_RNA1_Lib2_GL104_S98_nohmrRNA_noglobinLog,25437508
G329_Watkins07_Unvax_r15093_B_D10-SIV_RNA1_Lib1_GL102_S49_nohmrRNA_noglobinLog,33476858
G330_Watkins07_Unvax_r15093_B_D14-SIV_RNA1_Lib1_GL104_S89_nohmrRNA_noglobinLog,32230282
G213_Watkins07_AVR_r17115_B_D168_RNA1_Lib1_GL104_S25_nohmrRNA_noglobinLog,33246353
G333_Watkins07_AVR_r16007_B_D7-SIV_RNA1_Lib1_GL104_S52_nohmrRNA_noglobinLog,44639379
G334_Watkins07_AVR_r16007_B_D10-SIV_RNA1_Lib1_GL104_S86_nohmrRNA_noglobinLog,49057796
G332_Watkins07_AVR_r16007_B_D3-SIV_RNA1_Lib1_GL102_S95_nohmrRNA_noglobinLog,38183600
G336_Watkins07_Unvax_r17082_B_D-4-SIV_RNA1_Lib1_GL104_S28_nohmrRNA_noglobinLog,37677502
G387_Watkins07_Unvax_rh2861_B_D14-SIV_RNA1_Lib1_GL104_S76_nohmrRNA_noglobinLog,39926080
G335_Watkins07_AVR_r16007_B_D14-SIV_RNA1_Lib1_GL104_S81_nohmrRNA_noglobinLog,48978758
G337_Watkins07_Unvax_r17082_B_D10-SIV_RNA1_Lib1_GL104_S55_nohmrRNA_noglobinLog,43094913
G214_Watkins07_AVR_rh2932_B_D168_RNA1_Lib1_GL102_S7_nohmrRNA_noglobinLog,36446518
G352_Watkins07_Unvax_r18066_B_D13-SIV_RNA1_Lib1_GL104_S1_nohmrRNA_noglobinLog,34777783
G338_Watkins07_Unvax_r17100_B_D0-SIV_RNA1_Lib1_GL102_S47_nohmrRNA_noglobinLog,28977150
G351_Watkins07_Unvax_r18066_B_D10-SIV_RNA1_Lib1_GL102_S104_nohmrRNA_noglobinLog,40681225
G340_Watkins07_Unvax_r17100_B_D7-SIV_RNA1_Lib1_GL105_S74_nohmrRNA_noglobinLog,46207719
G339_Watkins07_Unvax_r17100_B_D4-SIV_RNA1_Lib1_GL104_S19_nohmrRNA_noglobinLog,44583340
G388_Watkins07_AVR_rh2932_B_D0-SIV_RNA1_Lib1_GL102_S57_nohmrRNA_noglobinLog,31868060
G341_Watkins07_Unvax_r17100_B_D10-SIV_RNA1_Lib1_GL102_S16_nohmrRNA_noglobinLog,37647852
G342_Watkins07_Unvax_r17100_B_D14-SIV_RNA1_Lib1_GL102_S43_nohmrRNA_noglobinLog,33710507
G215_Watkins07_AVR_rh2943_B_D168_RNA1_Lib1_GL104_S42_nohmrRNA_noglobinLog,33032258
G353_Watkins07_Unvax_rh2494_B_D0-SIV_RNA1_Lib1_GL102_S55_nohmrRNA_noglobinLog,35274013
G354_Watkins07_Unvax_rh2494_B_D3-SIV_RNA1_Lib1_GL104_S40_nohmrRNA_noglobinLog,34063339
G355_Watkins07_Unvax_rh2494_B_D7-SIV_RNA1_Lib1_GL102_S39_nohmrRNA_noglobinLog,36271405
G358_Watkins07_Unvax_rh2504_B_D0-SIV_RNA1_Lib1_GL105_S94_nohmrRNA_noglobinLog,45291015
G356_Watkins07_Unvax_rh2494_B_D11-SIV_RNA1_Lib1_GL105_S61_nohmrRNA_noglobinLog,50440867
G357_Watkins07_Unvax_rh2494_B_D14-SIV_RNA2_Lib1_GL102_S74_nohmrRNA_noglobinLog,39865342
G359_Watkins07_Unvax_rh2504_B_D3-SIV_RNA1_Lib1_GL102_S78_nohmrRNA_noglobinLog,32673139
G390_Watkins07_AVR_rh2932_B_D7-SIV_RNA1_Lib1_GL102_S46_nohmrRNA_noglobinLog,29346568
G360_Watkins07_Unvax_rh2504_B_D7-SIV_RNA1_Lib1_GL105_S90_nohmrRNA_noglobinLog,41190606
G361_Watkins07_Unvax_rh2504_B_D10-SIV_RNA1_Lib1_GL104_S80_nohmrRNA_noglobinLog,45426567
G362_Watkins07_Unvax_rh2504_B_D14-SIV_RNA1_Lib1_GL104_S8_nohmrRNA_noglobinLog,40905313
G364_Watkins07_Unvax_rh2527_B_D3-SIV_RNA1_Lib1_GL104_S63_nohmrRNA_noglobinLog,44084297
G391_Watkins07_AVR_rh2932_B_D10-SIV_RNA1_Lib1_GL105_S81_nohmrRNA_noglobinLog,44677091
G363_Watkins07_Unvax_rh2527_B_D0-SIV_RNA1_Lib1_GL104_S67_nohmrRNA_noglobinLog,43265590
G366_Watkins07_Unvax_rh2527_B_D10-SIV_RNA1_Lib1_GL104_S61_nohmrRNA_noglobinLog,40768791
