,experiment
G256_Watkins07_AVR_rh3053_B_D224_RNA1_Lib1_GL102_S12_nohmrRNA_noglobinLog,31602912
G257_Watkins07_AVR_r08014_B_D0-SIV_RNA1_Lib1_GL105_S85_nohmrRNA_noglobinLog,51502681
G258_Watkins07_Unvax_r15058_B_D0-SIV_RNA1_Lib1_GL104_S74_nohmrRNA_noglobinLog,38462072
G259_Watkins07_Unvax_r16003_B_D0-SIV_RNA1_Lib1_GL104_S94_nohmrRNA_noglobinLog,48943731
G260_Watkins07_AVR_r08014_B_D3-SIV_RNA1_Lib1_GL104_S10_nohmrRNA_noglobinLog,34299106
G261_Watkins07_Unvax_r15058_B_D3-SIV_RNA1_Lib1_GL104_S45_nohmrRNA_noglobinLog,40555241
G262_Watkins07_Unvax_r16003_B_D3-SIV_RNA1_Lib1_GL105_S72_nohmrRNA_noglobinLog,41706843
G263_Watkins07_AVR_r08014_B_D7-SIV_RNA1_Lib1_GL105_S56_nohmrRNA_noglobinLog,46745901
G264_Watkins07_Unvax_r15058_B_D7-SIV_RNA1_Lib1_GL104_S71_nohmrRNA_noglobinLog,47326027
G265_Watkins07_Unvax_r16003_B_D7-SIV_RNA1_Lib1_GL104_S24_nohmrRNA_noglobinLog,35369383
G266_Watkins07_Unvax_r17103_B_D0-SIV_RNA1_Lib1_GL102_S97_nohmrRNA_noglobinLog,41714453
G267_Watkins07_Unvax_r18067_B_D0-SIV_RNA1_Lib1_GL102_S1_nohmrRNA_noglobinLog,28819390
G268_Watkins07_AVR_r08014_B_D10-SIV_RNA1_Lib1_GL105_S87_nohmrRNA_noglobinLog,47251972
G269_Watkins07_Unvax_r15058_B_D10-SIV_RNA1_Lib1_GL102_S14_nohmrRNA_noglobinLog,34920683
G270_Watkins07_Unvax_r16003_B_D10-SIV_RNA1_Lib1_GL104_S6_nohmrRNA_noglobinLog,48813532
G271_Watkins07_Unvax_r17103_B_D3-SIV_RNA1_Lib1_GL102_S25_nohmrRNA_noglobinLog,45009674
G272_Watkins07_Unvax_r18067_B_D3-SIV_RNA1_Lib1_GL102_S5_nohmrRNA_noglobinLog,31082580
G273_Watkins07_AVR_r08014_B_D14-SIV_RNA1_Lib1_GL104_S62_nohmrRNA_noglobinLog,38257634
G274_Watkins07_Unvax_r15058_B_D14-SIV_RNA1_Lib1_GL104_S21_nohmrRNA_noglobinLog,38387796
G277_Watkins07_Unvax_r18067_B_D7-SIV_RNA1_Lib1_GL102_S65_nohmrRNA_noglobinLog,46470093
G275_Watkins07_Unvax_r16003_B_D14-SIV_RNA1_Lib1_GL102_S26_nohmrRNA_noglobinLog,35913773
