file	# read pairs	# concordant once	% concordant once	# concordant more than once	% concordant more than once	# of aligned discordant	% of aligned disdorant	# of mates condordant once	% of mates concordant once	# of mates concordant more than once	% of mates concordant more than once	overall % alignment
../logs/rRNA_globinfilter/G289_Watkins07_Unvax_r17039_B_D10-SIV_RNA3_Lib1_GL102_S21_rRNA_globinfilter.log	40047669	6547	0.02	53762	0.13	4366	0.01	110383	0.14	138671	0.17	0.47
../logs/rRNA_globinfilter/G290_Watkins07_AVR_r17017_B_D14-SIV_RNA1_Lib1_GL105_S59_rRNA_globinfilter.log	50268429	8676	0.02	67315	0.13	5772	0.01	147242	0.15	176958	0.18	0.49
../logs/rRNA_globinfilter/G291_Watkins07_Unvax_r17039_B_D14-SIV_RNA1_Lib1_GL102_S15_rRNA_globinfilter.log	38453978	7985	0.02	61705	0.16	5383	0.01	127711	0.17	156214	0.20	0.56
../logs/rRNA_globinfilter/G292_Watkins07_Unvax_r12048_B_D0-SIV_RNA1_Lib1_GL104_S68_rRNA_globinfilter.log	46450075	7659	0.02	78466	0.17	5123	0.01	142510	0.15	193362	0.21	0.56
../logs/rRNA_globinfilter/G293_Watkins07_Unvax_r12048_B_D3-SIV_RNA1_Lib1_GL102_S27_rRNA_globinfilter.log	35681734	11093	0.03	109555	0.31	5480	0.02	116793	0.16	161743	0.23	0.74
../logs/rRNA_globinfilter/G294_Watkins07_Unvax_r12048_B_D7-SIV_RNA1_Lib1_GL105_S69_rRNA_globinfilter.log	52803396	7740	0.01	66283	0.13	5041	0.01	137622	0.13	169262	0.16	0.44
../logs/rRNA_globinfilter/G295_Watkins07_AVR_rh3032_B_D0-SIV_RNA1_Lib1_GL104_S47_rRNA_globinfilter.log	39149473	6507	0.02	55635	0.14	4192	0.01	107199	0.14	135139	0.17	0.48
../logs/rRNA_globinfilter/G296_Watkins07_AVR_rh3033_B_D0-SIV_RNA1_Lib1_GL102_S66_rRNA_globinfilter.log	34748419	6566	0.02	59442	0.17	4832	0.01	111808	0.16	152047	0.22	0.58
../logs/rRNA_globinfilter/G297_Watkins07_Unvax_r12048_B_D10-SIV_RNA1_Lib1_GL105_S71_rRNA_globinfilter.log	44728997	5905	0.01	46423	0.10	3516	0.01	103413	0.12	133586	0.15	0.39
../logs/rRNA_globinfilter/G298_Watkins07_AVR_rh3032_B_D3-SIV_RNA1_Lib1_GL104_S31_rRNA_globinfilter.log	42488275	6332	0.01	51572	0.12	3864	0.01	111740	0.13	141962	0.17	0.44
../logs/rRNA_globinfilter/G299_Watkins07_AVR_rh3033_B_D3-SIV_RNA1_Lib1_GL104_S54_rRNA_globinfilter.log	44299832	8191	0.02	66287	0.15	5379	0.01	128008	0.14	160968	0.18	0.51
../logs/rRNA_globinfilter/G300_Watkins07_Unvax_r05035_B_D0-SIV_RNA1_Lib1_GL105_S80_rRNA_globinfilter.log	46759652	5823	0.01	50755	0.11	3823	0.01	137750	0.15	171228	0.18	0.46
../logs/rRNA_globinfilter/G301_Watkins07_Unvax_r05035_B_D3-SIV_RNA1_Lib1_GL102_S61_rRNA_globinfilter.log	36430756	5317	0.01	46031	0.13	3402	0.01	100166	0.14	126030	0.17	0.46
../logs/rRNA_globinfilter/G302_Watkins07_Unvax_r05035_B_D7-SIV_RNA1_Lib1_GL104_S101_rRNA_globinfilter.log	38698898	6772	0.02	47712	0.12	3971	0.01	112891	0.15	133620	0.17	0.47
../logs/rRNA_globinfilter/G303_Watkins07_Unvax_r05035_B_D10-SIV_RNA1_Lib1_GL104_S77_rRNA_globinfilter.log	59052472	11410	0.02	76615	0.13	6673	0.01	162448	0.14	189692	0.16	0.46
../logs/rRNA_globinfilter/G304_Watkins07_Unvax_r05035_B_D14-SIV_RNA1_Lib1_GL104_S64_rRNA_globinfilter.log	46655423	7405	0.02	58017	0.12	4649	0.01	132321	0.14	165067	0.18	0.47
../logs/rRNA_globinfilter/G305_Watkins07_Unvax_r12048_B_D14-SIV_RNA1_Lib1_GL104_S11_rRNA_globinfilter.log	34329040	5949	0.02	47408	0.14	3228	0.01	90063	0.13	113049	0.16	0.46
../logs/rRNA_globinfilter/G306_Watkins07_Unvax_r14010_B_D0-SIV_RNA1_Lib1_GL102_S71_rRNA_globinfilter.log	45707314	6623	0.01	55064	0.12	4700	0.01	104754	0.11	135219	0.15	0.41
